k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
8.728014e-02,2.579112e-09,3.209289e-09,2.618601e-09,3.298275e-09,2.619385e-09
8.772318e-02,2.453189e-09,3.186853e-09,2.461352e-09,3.158662e-09,2.470415e-09
8.816623e-02,2.338010e-09,3.111790e-09,2.316560e-09,3.001714e-09,2.367714e-09
8.860928e-02,2.215690e-09,3.045816e-09,2.186720e-09,2.881574e-09,2.239401e-09
8.905232e-02,2.112047e-09,2.940292e-09,2.081339e-09,2.744679e-09,2.146712e-09
8.949537e-02,2.007425e-09,2.855233e-09,1.984323e-09,2.629706e-09,2.045903e-09
8.993842e-02,1.921243e-09,2.715974e-09,1.913516e-09,2.553216e-09,1.946676e-09
9.038146e-02,1.839224e-09,2.592230e-09,1.848500e-09,2.459871e-09,1.835741e-09
9.082451e-02,1.763139e-09,2.461268e-09,1.767458e-09,2.389681e-09,1.778762e-09
9.126756e-02,1.697405e-09,2.338798e-09,1.713137e-09,2.296140e-09,1.739811e-09
9.171060e-02,1.645433e-09,2.211475e-09,1.678529e-09,2.246927e-09,1.718007e-09
9.215365e-02,1.601660e-09,2.098540e-09,1.643816e-09,2.170080e-09,1.722314e-09
9.259669e-02,1.566282e-09,2.001976e-09,1.632809e-09,2.100060e-09,1.732171e-09
9.303974e-02,1.536212e-09,1.927086e-09,1.629985e-09,2.002533e-09,1.718863e-09
9.348279e-02,1.508883e-09,1.867318e-09,1.602202e-09,1.919502e-09,1.685896e-09
9.392583e-02,1.476288e-09,1.842714e-09,1.594236e-09,1.878193e-09,1.624461e-09
9.436888e-02,1.437658e-09,1.818393e-09,1.547820e-09,1.813582e-09,1.564610e-09
9.481193e-02,1.404859e-09,1.802975e-09,1.474167e-09,1.724107e-09,1.506321e-09
9.525497e-02,1.359894e-09,1.781773e-09,1.381813e-09,1.664866e-09,1.442296e-09
9.569802e-02,1.313730e-09,1.733269e-09,1.278346e-09,1.628398e-09,1.395655e-09
9.614107e-02,1.265906e-09,1.706047e-09,1.188039e-09,1.589804e-09,1.364769e-09
9.658411e-02,1.211828e-09,1.651280e-09,1.112644e-09,1.547132e-09,1.306945e-09
9.702716e-02,1.155545e-09,1.576546e-09,1.062199e-09,1.483194e-09,1.231586e-09
9.747021e-02,1.098370e-09,1.500925e-09,1.029834e-09,1.428411e-09,1.161575e-09
9.791325e-02,1.042908e-09,1.445345e-09,1.026431e-09,1.376864e-09,1.103030e-09
9.835630e-02,9.926458e-10,1.371153e-09,1.016680e-09,1.309070e-09,1.027565e-09
9.879934e-02,9.474126e-10,1.309683e-09,1.009980e-09,1.248970e-09,9.573878e-10
9.924239e-02,9.095506e-10,1.243201e-09,1.006950e-09,1.185562e-09,9.153682e-10
9.968544e-02,8.784168e-10,1.195167e-09,9.675837e-10,1.144594e-09,8.713964e-10
1.001285e-01,8.521734e-10,1.144028e-09,9.426874e-10,1.090478e-09,8.462580e-10
1.005715e-01,8.276754e-10,1.122206e-09,9.189092e-10,1.047871e-09,8.318386e-10
1.010146e-01,8.072830e-10,1.093161e-09,8.896309e-10,1.030969e-09,8.118151e-10
1.014576e-01,7.887853e-10,1.070087e-09,8.651661e-10,1.004203e-09,8.071776e-10
