k_s_per_km,kPk_pi_p1_n2,kPk_pi_p2_n2,kPk_pi_p7_n2,kPk_pi_p8_n2,kPk_pi_p9_n2
3.305641e+00,2.231828e-17,1.572700e-10,3.317539e-11,3.950865e-11,5.748437e-11
3.306124e+00,2.215327e-17,1.551359e-10,3.402035e-11,3.857953e-11,5.755491e-11
3.306607e+00,2.208313e-17,1.531150e-10,3.484064e-11,3.776012e-11,5.765719e-11
3.307090e+00,2.208948e-17,1.510701e-10,3.560331e-11,3.707155e-11,5.779731e-11
3.307573e+00,2.202140e-17,1.488231e-10,3.627907e-11,3.651326e-11,5.798105e-11
3.308056e+00,2.214571e-17,1.463720e-10,3.684373e-11,3.607047e-11,5.821467e-11
3.308539e+00,2.199267e-17,1.439071e-10,3.727798e-11,3.572246e-11,5.850359e-11
3.309022e+00,2.214724e-17,1.416018e-10,3.756815e-11,3.544882e-11,5.884992e-11
3.309505e+00,2.199909e-17,1.394329e-10,3.770576e-11,3.523089e-11,5.925274e-11
3.309988e+00,2.220938e-17,1.372357e-10,3.768783e-11,3.504889e-11,5.971091e-11
3.310471e+00,2.252857e-17,1.349729e-10,3.750884e-11,3.488107e-11,6.022043e-11
3.310954e+00,2.226797e-17,1.328546e-10,3.718129e-11,3.469799e-11,6.077138e-11
3.311437e+00,2.220822e-17,1.311172e-10,3.671980e-11,3.447053e-11,6.135197e-11
3.311920e+00,2.213691e-17,1.298179e-10,3.614022e-11,3.417537e-11,6.194933e-11
3.312403e+00,2.180484e-17,1.288313e-10,3.546148e-11,3.380593e-11,6.254855e-11
3.312886e+00,2.254437e-17,1.280174e-10,3.470444e-11,3.338350e-11,6.313163e-11
3.313369e+00,2.227464e-17,1.273744e-10,3.389170e-11,3.296414e-11,6.367911e-11
3.313852e+00,2.241345e-17,1.270164e-10,3.304709e-11,3.263756e-11,6.416983e-11
3.314335e+00,2.249637e-17,1.270014e-10,3.219450e-11,3.251688e-11,6.458087e-11
3.314818e+00,2.233286e-17,1.272073e-10,3.135679e-11,3.271705e-11,6.488912e-11
3.315301e+00,2.258521e-17,1.273934e-10,3.055456e-11,3.332824e-11,6.507237e-11
3.315784e+00,2.237562e-17,1.273722e-10,2.980895e-11,3.440796e-11,6.510329e-11
3.316267e+00,2.251904e-17,1.271706e-10,2.913478e-11,3.589816e-11,6.496762e-11
3.316750e+00,2.241114e-17,1.269497e-10,2.854128e-11,3.765334e-11,6.465927e-11
3.317233e+00,2.252886e-17,1.268219e-10,2.803565e-11,3.947444e-11,6.417392e-11
3.317716e+00,2.216342e-17,1.267502e-10,2.762219e-11,4.112706e-11,6.351334e-11
3.318199e+00,2.263480e-17,1.265938e-10,2.730296e-11,4.238265e-11,6.268515e-11
3.318682e+00,2.273148e-17,1.262740e-10,2.707834e-11,4.306238e-11,6.170131e-11
3.319165e+00,2.251047e-17,1.259028e-10,2.694756e-11,4.307519e-11,6.057955e-11
3.319648e+00,2.264082e-17,1.257345e-10,2.690872e-11,4.243952e-11,5.933717e-11
3.320131e+00,2.244779e-17,1.259798e-10,2.696042e-11,4.128057e-11,5.799544e-11
3.320614e+00,2.265941e-17,1.266435e-10,2.710084e-11,3.981220e-11,5.657679e-11
3.321097e+00,2.273986e-17,1.275266e-10,2.733019e-11,3.830371e-11,5.510276e-11
3.321580e+00,2.261503e-17,1.283905e-10,2.764325e-11,3.703417e-11,5.359974e-11
3.322063e+00,2.273378e-17,1.292039e-10,2.803076e-11,3.619411e-11,5.209274e-11
3.322546e+00,2.270728e-17,1.301115e-10,2.848405e-11,3.587891e-11,5.060563e-11
3.323029e+00,2.276837e-17,1.312418e-10,2.899161e-11,3.607804e-11,4.916249e-11
3.323512e+00,2.261196e-17,1.325493e-10,2.953881e-11,3.668467e-11,4.778605e-11
3.323995e+00,2.255867e-17,1.338367e-10,3.010783e-11,3.752362e-11,4.649672e-11
3.324478e+00,2.265040e-17,1.349194e-10,3.067898e-11,3.839226e-11,4.531251e-11
3.324961e+00,2.301330e-17,1.357731e-10,3.123120e-11,3.910134e-11,4.424897e-11
3.325444e+00,2.303050e-17,1.365432e-10,3.174258e-11,3.950857e-11,4.331713e-11
3.325927e+00,2.248395e-17,1.374067e-10,3.219169e-11,3.953968e-11,4.252403e-11
3.326410e+00,2.267115e-17,1.384095e-10,3.255509e-11,3.918170e-11,4.187912e-11
3.326893e+00,2.278338e-17,1.394309e-10,3.281262e-11,3.850041e-11,4.138457e-11
3.327376e+00,2.263158e-17,1.403686e-10,3.295356e-11,3.761121e-11,4.103221e-11
