k_s_per_km,kPk_pi_p1_0,kPk_pi_p1_1,kPk_pi_p1_2,kPk_pi_p1_n1,kPk_pi_p1_n2
3.648529e-01,2.311192e+02,4.474976e-01,2.388502e+01,1.647568e+00,1.947011e+05
3.665821e-01,2.275604e+02,4.353049e-01,2.327414e+01,1.645317e+00,1.957842e+05
3.683112e-01,2.328434e+02,4.318528e-01,2.248925e+01,1.625837e+00,1.969441e+05
3.700404e-01,2.337730e+02,4.185817e-01,2.221405e+01,1.620935e+00,1.983678e+05
3.717695e-01,2.385492e+02,4.095478e-01,2.216776e+01,1.612654e+00,1.998810e+05
3.734987e-01,2.395454e+02,4.107686e-01,2.132325e+01,1.592253e+00,2.015814e+05
3.752279e-01,2.456627e+02,3.980734e-01,2.106982e+01,1.577736e+00,2.034499e+05
3.769570e-01,2.487105e+02,3.897789e-01,2.062544e+01,1.570427e+00,2.054271e+05
3.786862e-01,2.558138e+02,3.803685e-01,2.039034e+01,1.553733e+00,2.076493e+05
3.804154e-01,2.521420e+02,3.724662e-01,1.990917e+01,1.538923e+00,2.099487e+05
3.821445e-01,2.646146e+02,3.689843e-01,1.981589e+01,1.522471e+00,2.124733e+05
3.838737e-01,2.673317e+02,3.550378e-01,1.946669e+01,1.491557e+00,2.151192e+05
3.856028e-01,2.669455e+02,3.472973e-01,1.944409e+01,1.461846e+00,2.179106e+05
3.873320e-01,2.839355e+02,3.491029e-01,1.899791e+01,1.445780e+00,2.208938e+05
3.890612e-01,2.760247e+02,3.426892e-01,1.918239e+01,1.410494e+00,2.239503e+05
3.907903e-01,2.871370e+02,3.312372e-01,1.914725e+01,1.380944e+00,2.272533e+05
3.925195e-01,2.829802e+02,3.240526e-01,1.892538e+01,1.351388e+00,2.306294e+05
3.942486e-01,2.878788e+02,3.236134e-01,1.849468e+01,1.326688e+00,2.341738e+05
3.959778e-01,2.961330e+02,3.115170e-01,1.866574e+01,1.307442e+00,2.378526e+05
3.977070e-01,2.923784e+02,3.031700e-01,1.866432e+01,1.288225e+00,2.416266e+05
3.994361e-01,3.018985e+02,2.966218e-01,1.834004e+01,1.259561e+00,2.455879e+05
