k_s_per_km,kPk_pi_p1_0,kPk_pi_p2_0,kPk_pi_p7_0,kPk_pi_p8_0,kPk_pi_p9_0
9.879934e-02,9.474126e-10,9.474126e-10,9.474126e-10,9.474126e-10,9.474126e-10
9.924239e-02,9.095506e-10,9.095506e-10,9.095506e-10,9.095506e-10,9.095506e-10
9.968544e-02,8.784168e-10,8.784168e-10,8.784168e-10,8.784168e-10,8.784168e-10
1.001285e-01,8.521734e-10,8.521734e-10,8.521734e-10,8.521734e-10,8.521734e-10
1.005715e-01,8.276754e-10,8.276754e-10,8.276754e-10,8.276754e-10,8.276754e-10
1.010146e-01,8.072830e-10,8.072830e-10,8.072830e-10,8.072830e-10,8.072830e-10
1.014576e-01,7.887853e-10,7.887853e-10,7.887853e-10,7.887853e-10,7.887853e-10
1.019007e-01,7.714354e-10,7.714354e-10,7.714354e-10,7.714354e-10,7.714354e-10
1.023437e-01,7.543051e-10,7.543051e-10,7.543051e-10,7.543051e-10,7.543051e-10
1.027868e-01,7.363640e-10,7.363640e-10,7.363640e-10,7.363640e-10,7.363640e-10
1.032298e-01,7.147323e-10,7.147323e-10,7.147323e-10,7.147323e-10,7.147323e-10
1.036729e-01,6.906761e-10,6.906761e-10,6.906761e-10,6.906761e-10,6.906761e-10
1.041159e-01,6.643356e-10,6.643356e-10,6.643356e-10,6.643356e-10,6.643356e-10
1.045589e-01,6.368902e-10,6.368902e-10,6.368902e-10,6.368902e-10,6.368902e-10
1.050020e-01,6.100562e-10,6.100562e-10,6.100562e-10,6.100562e-10,6.100562e-10
1.054450e-01,5.850704e-10,5.850704e-10,5.850704e-10,5.850704e-10,5.850704e-10
1.058881e-01,5.608789e-10,5.608789e-10,5.608789e-10,5.608789e-10,5.608789e-10
1.063311e-01,5.389689e-10,5.389689e-10,5.389689e-10,5.389689e-10,5.389689e-10
1.067742e-01,5.187061e-10,5.187061e-10,5.187061e-10,5.187061e-10,5.187061e-10
1.072172e-01,5.003249e-10,5.003249e-10,5.003249e-10,5.003249e-10,5.003249e-10
1.076603e-01,4.851116e-10,4.851116e-10,4.851116e-10,4.851116e-10,4.851116e-10
1.081033e-01,4.713857e-10,4.713857e-10,4.713857e-10,4.713857e-10,4.713857e-10
1.085464e-01,4.604191e-10,4.604191e-10,4.604191e-10,4.604191e-10,4.604191e-10
1.089894e-01,4.488687e-10,4.488687e-10,4.488687e-10,4.488687e-10,4.488687e-10
1.094325e-01,4.390240e-10,4.390240e-10,4.390240e-10,4.390240e-10,4.390240e-10
1.098755e-01,4.267657e-10,4.267657e-10,4.267657e-10,4.267657e-10,4.267657e-10
1.103186e-01,4.145575e-10,4.145575e-10,4.145575e-10,4.145575e-10,4.145575e-10
1.107616e-01,4.000683e-10,4.000683e-10,4.000683e-10,4.000683e-10,4.000683e-10
1.112046e-01,3.865144e-10,3.865144e-10,3.865144e-10,3.865144e-10,3.865144e-10
1.116477e-01,3.712249e-10,3.712249e-10,3.712249e-10,3.712249e-10,3.712249e-10
1.120907e-01,3.572193e-10,3.572193e-10,3.572193e-10,3.572193e-10,3.572193e-10
1.125338e-01,3.421891e-10,3.421891e-10,3.421891e-10,3.421891e-10,3.421891e-10
1.129768e-01,3.287260e-10,3.287260e-10,3.287260e-10,3.287260e-10,3.287260e-10
